Chromosome	chromStart	chromEnd	Gene
chr1	1324756	1328897	CPTP
chr1	2555639	2565382	TNFRSF14
chr1	7843083	7853512	UTS2
chr1	15490832	15526534	CASP9
chr1	17018722	17054170	SDHB
chr1	32862268	32872482	FNDC5
chr1	34781189	34786369	GJB3
chr1	37692418	37709719	CDCA8
chr1	42925375	42959173	SLC2A1
chr1	50417550	50423500	DMRTA2
chr1	55039548	55064852	PCSK9
chr1	88684222	88836255	PKN2
chr1	89006666	89022894	GBP3
chr1	89052319	89065360	GBP1
chr1	89106132	89150456	GBP2
chr1	89258950	89272804	GBP5
chr1	92246402	92298987	GLMN
chr1	109279556	109283186	PSRC1
chr1	110362848	110391082	SLC16A4
chr1	111499429	111503760	ADORA3
chr1	114704469	114716894	NRAS
chr1	116754385	116769228	CD2
chr1	145992435	145996600	TXNIP
chr1	156072013	156081998	MEX3A
chr1	158999968	159055155	IFI16
chr1	159062484	159147096	AIM2
chr1	159203307	159206500	ACKR1
chr1	161721563	161728143	FCRLB
chr1	167052836	167166479	GPA33
chr1	173477266	173488807	PRDX6
chr1	182839369	182887751	DHX9
chr1	186671791	186680427	PTGS2
chr1	192809039	192812283	RGS2
chr1	198156963	198322420	NEK7
chr1	203090654	203167405	ADORA1
chr1	203178931	203186749	CHI3L1
chr1	206470476	206496889	IKBKE
chr1	206928518	206946466	PIGR
chr1	209785623	209806175	IRF6
chr1	218346235	218444619	TGFB2
chr1	226360691	226408079	PARP1
chr1	235109336	235128936	TOMM20
chr1	247416156	247449108	NLRP3
chr2	27491883	27495245	FNDC4
chr2	32224453	32265854	NLRC4
chr2	43886508	43996005	LRPPRC
chr2	45005161	45009430	SIX2
chr2	74549026	74557554	DOK1
chr2	86503431	86563479	CHMP3
chr2	102418689	102452565	IL18RAP
chr2	112773915	112784590	IL1A
chr2	112829751	112836903	IL1B
chr2	112973203	112985665	IL36G
chr2	113022091	113052867	IL36B
chr2	113107214	113134016	IL1RN
chr2	118842171	118847678	EN1
chr2	136114349	136118165	CXCR4
chr2	177227595	177392697	NFE2L2
chr2	190964358	191020960	STAT1
chr2	201233443	201287711	CASP8
chr2	203867786	203873960	CTLA4
chr2	210477682	210679107	CPS1
chr2	216632828	216664436	IGFBP2
chr2	218781749	218815293	CYP27A1
chr2	219418377	219426739	DES
