Chromosome	chromStart	chromEnd	Gene
chr1	1615415	1630610	MIB2
chr1	2403964	2413797	PEX10
chr1	7954291	7985505	PARK7
chr1	10398592	10420144	PGD
chr1	11106535	11262507	MTOR
chr1	11980181	12013514	MFN2
chr1	28259527	28282491	SESN2
chr1	32862268	32872482	FNDC5
chr1	37809567	37859620	MTF1
chr1	43650158	43705515	KDM4A
chr1	45511036	45523047	PRDX1
chr1	51577179	51798427	OSBPL9
chr1	52927229	53051703	SCP2
chr1	56645322	56715335	PRKAA2
chr1	58780788	58784327	JUN
chr1	91949371	92014426	BRDT
chr1	109687814	109709039	GSTM1
chr1	112911847	112957013	SLC16A1
chr1	114704469	114716894	NRAS
chr1	152675295	152676574	LCE2C
chr1	155173787	155184971	TRIM46
chr1	155185824	155192916	MUC1
chr1	155659443	155689000	YY1AP1
chr1	162631373	162787400	DDR2
chr1	173477266	173488807	PRDX6
chr1	180154834	180204030	QSOX1
chr1	186671791	186680427	PTGS2
chr1	200027602	200177424	NR5A2
chr1	202961869	202967280	CYB5R1
chr1	204516379	204558120	MDM4
chr1	212565334	212620777	ATF3
chr1	226360691	226408079	PARP1
chr1	241497603	241519761	FH
chr2	10122328	10131419	RRM2
chr2	11677595	11827409	LPIN1
chr2	12716889	12742734	TRIB2
chr2	15940564	15947007	MYCN
chr2	26308547	26395891	EPT1
chr2	30910467	31155202	GALNT14
chr2	46293667	46386703	EPAS1
chr2	95274453	95291308	PROM2
chr2	112829751	112836903	IL1B
chr2	130356007	130375409	PTPN18
chr2	160272151	160493794	RBMS1
chr2	161992241	162074542	DPP4
chr2	175072250	175168382	ATF2
chr2	177227595	177392697	NFE2L2
chr2	177392644	177543836	AGPS
chr2	189560579	189583758	SLC40A1
chr2	202034587	202038445	FZD7
chr2	206443539	206621130	ADAM23
chr2	207529737	207603431	CREB1
chr2	208236227	208266074	IDH1
chr2	222860934	222944639	ACSL3
chr2	233210051	233295674	ATG16L1
chr3	9731729	9748018	BRPF1
chr3	10026414	10101930	FANCD2
chr3	11272309	11557665	ATG7
chr3	12287368	12434356	PPARG
chr3	23945260	23980618	NR1D2
chr3	48157146	48188402	CDC25A
chr3	51942345	51948867	PARP3
chr3	52401013	52410350	BAP1
chr3	52524385	52535054	NT5DC2
chr3	71771656	71785206	PROK2
chr3	112532509	112562046	ATG3
chr3	119821323	120094417	GSK3B
chr3	122527924	122564577	PARP9
chr3	122577602	122639047	PARP15
