Chromosome	chromStart	chromEnd	Gene
chr1	11106535	11262507	MTOR
chr1	24745357	24844324	CLIC4
chr1	42925375	42959173	SLC2A1
chr1	153661788	153671048	ILF2
chr1	243488233	243851079	AKT3
chr2	113215997	113278950	PAX8
chr2	120735623	120992653	GLI2
chr2	136114349	136118165	CXCR4
chr2	172555373	172608669	PDK1
chr2	202034587	202038445	FZD7
chr2	218162845	218166995	CXCR1
chr2	229763838	229923239	TRIP12
chr3	41194837	41260096	CTNNB1
chr3	45082278	45146422	CDCP1
chr3	70954693	71583989	FOXP1
chr3	179148114	179240093	PIK3CA
chr3	181711924	181714436	SOX2
chr3	190514051	190659750	IL1RAP
chr3	194355247	194369743	LRRC15
chr4	155854738	155920406	TDO2
chr5	1456480	1523977	LPCAT1
chr5	52989326	53094779	ITGA2
chr5	147824568	147831786	SPINK1
chr5	163460203	163491945	HMMR
chr6	33208495	33212722	RING1
chr6	34236873	34246231	HMGA1
chr6	36676460	36687339	CDKN1A
chr6	42696600	42722574	PRPH2
chr6	43770184	43786487	VEGFA
chr6	90513573	90587045	MAP3K7
chr6	105096822	105137174	BVES
chr6	134169246	134318112	SGK1
chr6	149658153	149718256	LATS1
chr6	159669057	159762529	SOD2
chr7	19020991	19117672	TWIST1
chr7	22725884	22732002	IL6
chr7	30771417	30892387	FAM188B
chr7	87345681	87399795	CROT
chr7	95583499	95596491	PDK4
chr7	140719327	140924764	BRAF
chr7	148807383	148884321	EZH2
chr7	156994051	157010651	MNX1
chr8	47773108	47960183	PRKDC
chr8	48917690	48921740	SNAI2
chr8	56160904	56211324	PLAG1
chr8	58552924	58582860	SDCBP
chr8	127735434	127741434	MYC
chr8	133237171	133302022	NDRG1
chr8	140657900	141002216	PTK2
chr9	21967753	21995301	CDKN2A
chr9	84668551	85027070	NTRK2
chr9	87497228	87708633	DAPK1
chr9	107484852	107490482	KLF4
chr9	127087332	127122883	ANGPTL2
chr9	128818474	128822677	ENDOG
chr9	129094810	129111189	CRAT
chr9	136494444	136545862	NOTCH1
chr10	6427143	6580301	PRKCQ
chr10	87863113	87971930	PTEN
chr10	96191702	96271587	BLNK
chr10	112950250	113167678	TCF7L2
chr10	131966455	131982013	BNIP3
chr11	215458	236931	SIRT3
chr11	1469457	1501247	MOB2
chr11	2159779	2161341	INS
chr11	3854527	4093210	STIM1
chr11	27654893	27722058	BDNF
chr11	44885903	44951306	TP53I11
chr11	75759512	75801535	DGAT2
chr11	102110461	102233423	YAP1
chr12	25204789	25250936	KRAS
chr12	49866896	49904217	FAIM2
chr12	54395261	54419460	ITGA5
chr12	106063340	106140033	NUAK1
chr12	111405948	111451623	SH2B3
chr13	27251309	27256691	RPL21
chr13	53028759	53052057	OLFM4
chr13	73054976	73077542	KLF5
chr13	99981772	99986773	ZIC2
chr13	113584721	113641470	TFDP1
chr14	22598237	22613215	ABHD4
chr14	37589984	37596059	FOXA1
chr14	50117120	50231558	SOS2
chr14	53949736	53958761	BMP4
chr14	104769349	104795751	AKT1
chr15	40087890	40108892	BMF
chr15	63907036	64072033	DAPK2
chr15	65895079	66253747	MEGF11
chr15	80779343	80951776	CEMIP
chr15	90388218	90502243	IQGAP1
chr16	2047465	2088720	TSC2
chr16	23677656	23690367	PLK1
chr16	75228187	75268053	BCAR1
chr17	142789	181636	DOC2B
chr17	4538897	4555631	MYBBP1A
chr17	42313324	42388568	STAT3
chr17	67377281	67697261	PITPNC1
chr17	79778132	79787983	CBX2
chr17	82078333	82098332	FASN
chr18	63123346	63320128	BCL2
chr19	1177558	1228435	STK11
chr19	8363289	8374373	ANGPTL4
chr19	40421592	40426025	SERTAD1
chr19	41708585	41729798	CEACAM5
chr19	41750977	41772208	CEACAM6
chr19	47064187	47113752	ZC3H4
chr19	49151198	49155424	HRC
chr19	50418938	50431313	SPIB
chr19	57351307	57359898	ZNF304
chr20	31605283	31606515	ID1
chr20	33675683	33686404	E2F1
chr20	37344685	37406050	SRC
chr21	43414515	43427128	SIK1
chr22	28687743	28742422	CHEK2
chr22	39519695	39522685	ATF4
chrX	67544032	67730619	AR
chrX	153861514	153909223	L1CAM
chrX	154541199	154565046	IKBKG
