Chromosome	chromStart	chromEnd	Gene
chr1	11106535	11262507	MTOR
chr1	26037252	26046133	SLC30A2
chr1	26863138	26864457	SFN
chr1	37809567	37859620	MTF1
chr1	43358955	43363203	CDC20
chr1	44739818	44767767	KIF2C
chr1	46757838	46819413	CYP4B1
chr1	70354805	70385339	HHLA3
chr1	77944055	77979110	FUBP1
chr1	93079235	93139081	MTF2
chr1	100186919	100249834	DBT
chr1	119747996	119768905	HMGCS2
chr1	160151570	160186977	ATP1A4
chr1	196774795	196795406	CFHR3
chr1	206009264	206023909	CTSE
chr1	228082660	228099212	ARF1
chr1	247416156	247449108	NLRP3
chr2	72129238	72148038	CYP26B1
chr2	95087207	95149434	MRPS5
chr2	99154955	99163157	LIPT1
chr2	99161427	99181058	MITD1
chr2	172555373	172608669	PDK1
chr2	177227595	177392697	NFE2L2
chr2	178525989	178830802	TTN
chr2	190880827	190965552	GLS
chr2	203867786	203873960	CTLA4
chr2	208236227	208266074	IDH1
chr2	219209768	219218990	ABCB6
chr3	53494656	53813733	CACNA1D
chr3	58427630	58433857	PDHB
chr3	119498532	119525090	TIMMDC1
chr3	149162410	149222055	CP
chr3	179148114	179240093	PIK3CA
chr4	39459000	39477653	LIAS
chr4	70628744	70686816	ENAM
chr4	89724099	89838315	SNCA
chr4	102794383	102868896	UBE2D3
chr4	121329312	121381059	QRFPR
chr5	1392790	1445430	SLC6A3
chr5	40909252	40982939	C7
chr5	132369752	132395614	SLC22A5
chr5	139526431	139628433	UBE2D2
chr5	140638740	140647785	NDUFA2
chr5	151742316	151772532	ATOX1
chr5	157085832	157142869	HAVCR2
chr5	157266079	157395595	CYFIP2
chr5	160421822	160428744	PTTG1
chr6	33318558	33329269	DAXX
chr6	132769370	132798553	SLC18B1
chr6	166364919	166383013	MPC1
chr7	898778	975599	COX19
chr7	43926438	43956136	UBE2D4
chr7	55019021	55256620	EGFR
chr7	83955777	84492724	SEMA3A
chr7	100720800	100723700	EPO
chr7	107890970	107931730	DLD
chr7	140690777	140722790	NDUFB2
chr7	141738321	141787922	SSBP1
chr7	150824627	150861504	AOC1
chr8	54135210	54147901	MRPL15
chr8	144291591	144314722	HSF1
chr9	5450503	5470566	CD274
chr9	21967753	21995301	CDKN2A
chr9	113150942	113164137	SLC31A2
chr9	113221562	113264492	SLC31A1
chr9	122144058	122159819	NDUFA8
chr9	133636360	133659344	DBH
chr10	35247025	35572669	CCNY
chr10	60026298	60733490	ANK3
chr10	87863113	87971930	PTEN
chr10	94938658	94989390	CYP2C9
chr10	119499828	119542708	RGS10
chr10	122271306	122338162	BTBD16
chr10	133394094	133421307	MTG1
chr11	6680782	6683401	MRPL17
chr11	34915829	35020591	PDHX
chr11	63624087	63671921	ATL3
chr11	64269830	64284704	BAD
chr11	66592821	66606019	CCS
chr11	68891276	68903835	MRPL21
chr11	74491712	74493733	LIPT2
chr11	110429883	110464881	FDX1
chr11	112024814	112064390	DLAT
chr11	112064010	112074274	PIH1D2
chr11	117285207	117316259	BACE1
chr11	119015712	119018691	RPS25
chr12	20369245	20684381	PDE3A
chr12	52514575	52520687	KRT5
chr12	98593591	98606379	SLC25A3
chr13	30456704	30617597	HMGB1
chr13	51930436	52012125	ATP7B
chr13	95433604	95579759	CLDN10
chr14	34981957	35029567	SRP54
chr14	74493720	74497106	ISCA2
chr14	74881891	74903745	DLST
chr14	92116122	92121917	NDUFB1
chr14	102501760	102509799	ANKRD9
chr15	53513741	53762878	WDR72
chr15	66386817	66492312	MAP2K1
chr15	74719542	74725610	CYP1A1
chr15	75355207	75368630	MAN2C1
chr16	11868128	11916082	GSPT1
chr16	52438005	52547802	TOX3
chr16	56589074	56591088	MT3
chr16	56608199	56609497	MT2A
chr16	56625475	56627112	MT1E
chr16	56632233	56633986	MT1M
chr16	56638666	56750276	MT1A
chr16	56657694	56660698	MT1F
chr16	56666731	56668065	MT1G
chr16	56669814	56671129	MT1H
chr16	56682424	56684196	MT1X
chr16	81081961	81096403	GCSH
chr17	7661779	7687550	TP53
chr17	10672474	10698375	SCO1
chr17	31094927	31382116	NF1
chr17	34319036	34321402	CCL8
chr17	37686432	37745247	HNF1B
chr17	42810134	42833350	BECN1
chr17	54951902	54968785	COX11
chr17	57834781	57850056	MRPS23
chr17	75261674	75266373	MRPS7
chr18	63637719	63661963	SERPINB3
chr19	7739994	7747564	CD209
chr19	8848844	8981342	MUC16
chr19	15672757	15697174	CYP4F12
chr19	42268537	42295797	CIC
chr20	4686236	4701590	PRNP
chr20	4721910	4728460	PRND
chr20	4852356	5010293	SLC23A2
chr20	34546854	34560345	MAP1LC3A
chr20	34928430	34955817	GSS
chr20	53936777	54070594	BCAS1
chr21	25880550	26171128	APP
chr21	41304212	41357431	FAM3B
chr22	41938721	41947164	CENPM
chr22	45284982	45295874	UPK3A
chr22	50523568	50526439	SCO2
chrX	19343893	19361705	PDHA1
chrX	49235467	49250526	CCDC22
chrX	77504878	77786269	ATRX
chrX	77899438	77907373	COX7B
chrX	77910656	78050395	ATP7A
chrX	119468400	119471319	SLC25A5
chrX	119871487	119876662	NDUFA1
chrX	152766136	152769747	MAGEA6
